	gene_name	label	10uM_K99A vs. No_Peptide logFC	100uM_K99A vs. No_Peptide logFC	0_1uM_PCC vs. No_Peptide logFC	10uM_PCC vs. No_Peptide logFC
NM_146184	B3gnt8	0	1.15572440205663	1.95622319665259	2.47885593622079	3.24268128384677
NM_198642	5031414D18Rik	0	1.16374760103176	2.16417263117804	2.5252963765144902	2.4355125829085202
NM_001109756	Adcy7	0	1.1670338244628202	2.38201650731347	2.4587006231209103	2.5480546546345098
NM_011538	Tbx6	0	1.1697930642369099	2.70314619319673	2.65652270035153	3.08811404942538
NM_011355	Spi1	0	1.1713374783964299	2.36787061323279	2.68550468653054	3.44065294344014
NM_178045	Rassf4	0	1.17148214538713	1.9581377565151399	2.50258555333861	2.9289351390467298
NM_008417	Kcna2	0	1.1748593187132501	3.0313239624468	3.55035184598784	4.00143616398238
NM_007679	Cebpd	0	1.18202460743625	2.88601232244514	3.22838804180451	4.18896690052087
NM_013454	Abca1	0	1.1829177109234499	2.73862868440114	2.7569291162402005	3.79626111677086
NM_024124	Hdac9	0	1.1838909316050201	2.5292518817898704	2.1987434651460402	2.71229096057424
NM_011311	S100a4	0	1.18528149991986	2.02776813207809	2.6756264983777998	3.14491984886267
NM_010128	Emp1	0	1.19778100504375	2.51522330210008	2.9908122775806896	2.9087620262305998
NM_011390	Slc12a7	0	1.20326781520306	2.5454813787215804	2.60741102733713	2.8364944080872405
NM_007678	Cebpa	0	1.2058890754848401	2.16896142267535	2.2815660905362796	2.95101631867827
NM_001145953	Lgals3	0	1.2079346297678002	2.64457470590425	3.1064363464036	4.06625119239753
NM_146260	Tmie	0	1.2103137420547099	2.85682111858815	2.29311702554863	4.5317734687444595
NM_207237	Man1c1	0	1.21164273526518	2.20545821117528	2.97713984967578	3.4170114055939402
NM_010796	Clec10a	0	1.21204223708544	2.354991294246	3.00490843722983	3.83651945816611
NM_010656	Sspn	0	1.2158125649833897	2.4127464978034303	2.90892350465799	4.30251923866885
NM_026189	Eepd1	0	1.21892175015403	2.25355361001359	2.7863902597066	3.7285883795077503
NM_010442	Hmox1	0	1.22244410829762	2.1601059344751	2.31036346523992	2.7904032948603397
NM_001004176	Maml3	0	1.2237423959196598	2.36105394912119	2.48817882522805	2.75196729900886
NM_025972	Naaa	0	1.23113941630272	2.0294718808683703	2.57260944975507	3.31821845275119
NM_009921	Camp	0	1.2335263194789	2.0385832822158103	2.51230152269563	3.3195112069212698
NM_133977	Trf	0	1.23369980353851	2.5766900204848	3.4483503041737	4.0464610657203295
NM_023118	Dab2	0	1.24397649157298	1.63501746218745	2.00983238114128	3.7650455136445298
NM_001037098	Nacc2	0	1.25815182517709	2.4833728418125895	2.19554534268697	2.8147844890021605
NM_001164567	Vill	0	1.26574334629326	2.45405416497098	2.89359086069412	3.43810412740899
NM_008591	Met	0	1.27371595491214	1.9917733898914298	2.3006554727417403	3.12131820675562
NM_172415	Arhgef10l	0	1.27663844969081	2.40799797680888	3.70981857049465	4.4981600063289005
NM_026976	Faim3	0	1.27869022815174	2.3462407543987998	2.6220371526319703	3.67960202351364
NM_001101605	Gm14446	0	1.2831448586328897	2.35434396477146	2.2457133518836296	4.41317024720164
NM_009841	Cd14	0	1.2855424241056599	2.51085719904207	2.7748048358682205	3.11290130925151
NM_025638	Gdpd1	0	1.29297049902025	2.31441065559428	2.30848542717425	2.78323621331683
NM_023517	Tnfsf13	0	1.3037787735556499	2.4226499891241002	2.37523241442349	3.21955844707381
NM_138672	Stab1	0	1.31439800031131	3.2242014634856497	3.44713711614438	3.8801097757076697
NM_013871	Mapk12	0	1.31858725484409	2.67728736388272	2.51443164613661	2.90075022701323
NM_031185	Akap12	0	1.32839672262435	2.2278253734116498	2.97214547118367	2.89763525867748
NM_001271768	Bhlhe41	0	1.34615867114303	2.1372914072451397	2.1897552640632902	2.8687440674010998
NM_001034097	Tnfsf12Tnfsf13	0	1.35207087669345	2.30934212129585	2.55292020265317	3.24425233292494
NM_001291058	Cd68	0	1.35363196784145	2.11772475021698	2.33227153490725	3.0789055785618595
NM_013492	Clu	0	1.3564052811426597	2.26637908816244	2.9872511352046	4.63688323590799
NM_172665	Pdk1	0	1.3645340818465803	2.5776559143310296	2.32915637670935	2.802718517226
NM_001037859	Csf1r	0	1.3732296807417	2.59863242741309	3.0957387617664303	4.12081326532404
NM_020001	Clec4n	0	1.37399099521083	1.73472960422669	2.2111533049460697	3.44897016414258
NM_010242	Fut4	0	1.3755637948580601	1.94910023822225	2.34781219985419	3.00631499587313
NM_007802	Ctsk	0	1.3821432786854602	2.42788561672804	2.5260936222962402	4.18219975216037
NM_025968	Ptgr1	0	1.40637165764357	2.37046238962036	2.7811885487994097	3.94196320569078
NM_009987	Cx3cr1	0	1.41523403798233	2.62907178413663	2.2479321571305	2.71108472119537
NM_133167	Parvb	0	1.42243762475858	1.5169003209170602	2.58198861313758	2.9314337197934597
NM_177034	Apba1	0	1.42813120302886	2.17497501605594	2.75538633163284	2.47406419888512
NM_138749	Plxnb2	0	1.44942531635122	2.3130870053362003	2.76804514810211	2.7244963693433397
NM_011175	Lgmn	0	1.46354416034765	2.15674112796202	2.49851328114953	2.80918102198816
NM_026674	Aph1c	0	1.48589181038722	2.7499172840628	3.16786696004652	3.43559715746632
NM_011988	Slc27a3	0	1.48635021643223	1.8946973936813	2.07073630820207	3.07321897091294
NM_177632	Fam43a	0	1.49498828331372	2.1019129979869	2.5125614751981096	2.68733159581571
NM_181595	Ppp1r9a	0	1.50321132295825	2.9473615464304	2.7581913857838303	3.48220152980348
NM_027455	Qpct	0	1.5369165775070501	2.92558011086797	2.67952630180731	4.5835365340118
NM_001278534	Rgag4	0	1.54692941093999	2.22847648054993	3.0398154297207403	2.6168410623576603
NM_178911	Pld4	0	1.54952914868023	3.06256524693589	3.3124114903836204	3.65302798751212
NM_001204910	AI607873	0	1.57205659165651	2.0847378964499597	2.65182302489454	3.0547117965404396
NM_025399	Nudt14	0	1.58147897544032	2.06762676228132	2.89805745479752	2.16880796034212
NM_133191	Eps8l2	0	1.5816186694965202	2.3642022908796902	2.39142973852881	3.83613349995314
NM_028137	Msantd3	0	1.5838466737667798	2.25236747522008	2.56865859256355	2.7650667824552597
NM_027217	1810046K07Rik	0	1.60805406702265	2.66226372085343	2.75040548470852	4.03632878931553
NM_172477	Dennd2a	0	1.63439764944995	2.7114657257481496	3.2761283324310897	3.4762858711949303
NM_177204	Strip2	0	1.6453370633336002	2.16191393799152	2.52015602309476	3.4928533838538303
NM_153807	Acsf2	0	1.65004688978936	2.65801506476823	2.6578466807267596	2.6245670559701
NM_022320	Gpr35	0	1.6817149654265202	1.99050972014135	2.5617158638277098	2.8810325725412
NM_016863	Fkbp1b	0	1.68259439007102	2.17411667418643	2.5740108502346497	3.30939530599118
NM_175315	Ceacam15	0	1.6859218944190202	2.3955734482044	2.43244994899409	3.65704947682458
NM_198306	Galnt9	0	1.68689759062854	3.11620951392549	2.72830487775855	2.9101603572487904
NM_172841	Slco5a1	0	1.69307080824379	1.9957384212609801	2.4299682806223397	3.30939738440705
NM_008512	Lrp1	0	1.7089100975659202	2.58862008081307	2.8231545272662597	3.1420265435549997
NM_177473	Tmem191c	0	1.71028250881311	2.16030569454841	3.1922781568493903	2.88228634364325
NM_146016	Eml6	0	1.7270475114597699	2.7700382947502797	2.32522522609168	2.66019166223008
NM_001081957	Wfdc17	0	1.7425861318142801	2.13772287552055	2.4606592226669903	2.6978562726336097
NM_021530	Slc4a8	0	1.74321202274679	2.27632972017324	2.90236433101762	3.36623432169429
NM_009696	Apoe	0	1.7462089254505602	2.9730762782972504	3.20531996087496	3.9947159108157004
NM_144538	Rab3il1	0	1.74718612384456	2.9843489832090895	2.8732676267870296	3.56289279459052
NM_011614	Tnfsf12	0	1.7551906791377898	2.3999989689682404	2.41224759745269	3.4075564141504704
NM_027420	2610034B18Rik	0	1.7603308243726798	1.68452820278652	2.88171112141563	3.11876240752386
NM_053273	Ttyh2	0	1.79069594990556	3.4709190698878505	3.21102011483961	2.9858703621408598
NM_001029929	Zmynd15	0	1.8234847424721399	2.6254009404580296	2.15823617561795	2.73817684470789
NM_177000	C130050O18Rik	0	1.8257341452718898	1.95320014085558	2.26049111507063	2.91797339189764
NM_001099634	Myof	0	1.8333763573828	2.4491440267856097	2.75624590815208	3.5336786820420096
NM_001290660	Cd302	0	1.84726992183706	1.87146516387089	2.7350245820452797	2.71355895290548
NM_009399	Tnfrsf11a	0	1.86060375654549	2.17047103930789	2.10014277168091	2.6087456403579
NM_008587	Mertk	0	1.87880816080906	2.7719488962289898	3.57885660035645	2.79025109729559
NM_008905	Ppfibp2	0	1.9250208969626499	2.4948355059065404	2.73296410543251	3.31043569321133
NM_028135	Tmem163	0	1.9348655489079698	2.3237238817512402	2.21436804329858	2.3609656146096096
NM_001110778	Adam11	0	1.9594086905476298	2.45437546411085	2.67690725368374	3.7390719925164504
NM_001004149	Zfp366	0	1.9687907133570701	2.14068603952306	2.3716405956825897	2.40589524796215
NM_010186	Fcgr1	0	2.07230465112006	2.50698784721349	2.65615068681054	4.43258072275433
NM_031999	Gpr137b	0	2.21483176502193	3.05149175859791	2.82436274306385	3.5384885434718196
NM_145402	Tmem51	0	2.24660499114121	3.02101094083068	2.74271802109259	3.39545517759304
NM_010658	Mafb	0	2.30558212356715	3.32779890906215	2.6242587074999704	3.4377661804360002
NM_001033978	H2-Eb2	0	2.5371373262460404	2.3484059209542902	2.6108850145978395	3.0895830673063203
NM_001199293	Tex14	0	2.70983080750711	3.07552140793432	2.7647529943793194	2.92466110883259
NM_007759	Crabp2	1	-5.74037052655767	-9.74032477418242	-11.4358290755257	-12.3630260085521
NM_010415	Hbegf	1	-5.19316807942109	-6.60047833429273	-7.149116814851579	-7.47018231718392
NM_031252	Il23a	1	-5.17191081729205	-6.106524868777571	-5.6972779237341	-5.71419897040722
NM_001162476	Stra6	1	-4.55156197967069	-5.18686227705689	-4.98303068265303	-4.92775362539962
NM_032397	Kcnn1	1	-4.31713263348471	-4.40588233088597	-2.42520422167968	-3.5140272297762
NM_001130174	Tnnt2	1	-3.9009226589888	-3.61835908789394	-2.70234550515808	-2.28981192877767
NM_001159482	Rab34	1	-3.46939102112189	-3.8733723462156804	-3.24845863789832	-3.15283093342674
NM_007515	Slc7a3	1	-3.39225096751058	-4.57186237623101	-4.69270796103846	-4.58214881566675
NM_010136	Eomes	1	-3.38157453680184	-4.5787515366467	-3.99827196031049	-4.07860834412359
NM_011718	Wnt10b	1	-3.29635847772259	-2.90188199356972	-2.06747332416385	-2.03988530653509
NM_001166065	Gcnt4	1	-3.1286238548857797	-4.570665101524059	-4.32177697844058	-4.72203187119946
NM_007720	Ccr8	1	-3.02353215208426	-3.85140473583238	-2.9704982427066295	-3.2585582513026696
NM_133664	Lad1	1	-2.95785940206535	-3.14830072104967	-2.67458598335096	-2.6796837766931
NM_007532	Bcat1	1	-2.8765017622041102	-3.79069100422522	-3.85776309533018	-3.9013312320207
NM_011613	Tnfsf11	1	-2.62927247862524	-3.2228900282976602	-3.38657870655508	-3.1970780256280498
NM_027394	Ube2cbp	1	-2.6240045248519905	-3.8750741516410203	-3.80226209079161	-4.14229106280144
NM_175329	Chchd10	1	-2.5459641825233104	-2.9089305827577596	-2.57592205584939	-2.95219779257988
NM_013750	Phlda3	1	-2.5207084469956498	-3.43910707339418	-3.42882650889452	-3.6716610434304
NM_011659	Tnfrsf4	1	-2.43822095504348	-2.7903488656170397	-2.36433278702035	-2.44510980759562
NM_009403	Tnfsf8	1	-2.4098552576668597	-2.55514528143367	-2.08514660619941	-2.0234743016798897
NM_018861	Slc1a4	1	-2.3216576515765497	-3.0233623646790804	-2.8787597497046695	-2.69985044595729
NM_146064	Soat2	1	-2.28379236874452	-3.1235873838969903	-2.98083474386724	-3.4253235735657697
NM_010792	Mettl1	1	-2.2440803349741203	-2.9379018582985497	-3.1043235277443397	-2.92678119384245
NM_001159527	Wdr35	1	-2.22298536355499	-3.47982080547024	-3.40289038050003	-3.6135195083046603
NM_001033302	Ciart	1	-2.16386882732249	-2.6858257924307205	-2.45568765353356	-2.09922663753558
NM_175381	2700081O15Rik	1	-2.1402014336902297	-2.52726754726344	-2.25015572943496	-2.31521657559846
NM_001289716	Bcl2l1	1	-2.13579075274958	-2.45414255259296	-2.15445106717882	-2.15685845044022
NM_023137	Ubd	1	-2.13264712659216	-9.300421749236339	-9.78618876755562	-11.1383379667865
NM_133984	Hemk1	1	-2.10782395517965	-2.74897490077576	-2.52409406807425	-3.0276769235053
NM_175486	6430571L13Rik	1	-2.10445180038982	-3.2581874460693503	-2.5674698154508997	-2.4515640082120402
NM_001142916	Plod2	1	-2.0766403554700403	-3.1036732411336296	-3.2218245346180296	-3.5100968519223397
NM_028782	Lonp1	1	-2.05457400101929	-2.59619129041941	-2.5610574338829903	-2.5652160639351003
NM_001111277	Eif2b3	1	-2.05329281000342	-2.9721251108538502	-3.0272509461454504	-3.12560824259461
NM_177420	Psat1	1	-2.0294981794515903	-2.89164141711904	-3.08458649784312	-3.0479744607053103
NM_019681	Ncs1	1	-2.0194231984808	-3.9221106368149603	-4.7284212044959295	-4.93362371449538
NM_028002	Dus4l	1	-2.00941691730075	-2.5809144130995803	-2.56802335648894	-2.42258743452279
NM_007409	Adh1	1	-2.0067342339434697	-3.28311065987737	-2.6312778146283797	-2.4413862507747597
NM_010137	Epas1	2	-0.596015895565583	0.301079365365122	0.882488878398562	2.1726039172256
NM_013875	Pde7b	2	-0.44476791683365896	1.05478536115744	1.6786520864056997	3.0709361591934003
NM_023154	Ethe1	2	-0.43883323389566603	0.6020108963715389	1.20607998695427	2.00241451589884
NM_026240	Gramd3	2	-0.337329568538794	0.9229585121760521	1.4555211220601	2.39513212328192
NM_001122733	Kit	2	-0.0868203095400036	0.130924900066352	0.9137551043312528	2.044182810822
NM_007485	Rhod	2	0.0491656999599412	0.5147398843286111	1.79479600139377	2.6080052028626697
NM_029723	Dapl1	2	0.0868114056430116	1.57765665881105	1.34067745135029	2.48371330654609
NM_207244	Cd200r4	2	0.11858201510845	1.50041954944534	1.50609183237506	2.94970260950666
NM_133667	Pdk2	2	0.130760031595392	1.20429205953719	1.34919170679733	2.41834015196215
NM_018830	Asah2	2	0.133235850095372	0.9543474446233021	1.35079244180454	2.05033255777956
NM_001276445	Tlr1	2	0.13467789184354198	0.8071956670628778	1.13090145425595	2.18675662468737
NM_008741	Nsg2	2	0.15504031850027697	1.0523168497022601	1.5745408623623502	2.46869995590242
NM_145826	Il17re	2	0.16993096070795402	1.5661359820450902	2.1156955904660704	2.4120653156835403
NM_001290316	Vsig10l	2	0.18113139682719298	1.74274016955788	1.6043637132562398	2.7259913297302205
NM_175437	Gsap	2	0.186988809985616	1.2289829373549	1.3625788391257199	2.00046881966359
NM_009139	Ccl6	2	0.215087008321511	1.05934017042948	1.2855320553974499	2.8304305407260095
NM_011815	Fyb	2	0.216172698821121	1.48069243131681	1.74640663147125	2.66278122417487
NM_172980	Slc28a2	2	0.21819455310613398	1.53156122053226	1.7855538056373603	2.23184692652581
NM_133218	Zfp704	2	0.226938482594526	1.55199321752394	1.6360041418106002	2.1288834392433302
NM_029001	Elovl7	2	0.229523587197273	1.51763931529544	1.94992127336968	2.29349964935914
NM_009274	Srpk2	2	0.237876364673441	1.40555426694567	1.57689564918789	2.01428542504167
NM_011894	Sh3bp5	2	0.245539291230698	0.961976918429821	1.36456823970136	2.07258083644331
NM_026640	Fam111a	2	0.249721458702619	1.17478050323247	1.52991355245446	2.11580579939635
NM_011374	St8sia1	2	0.250883607961951	1.7476619667608602	1.77435538534174	2.30084373787523
NM_011346	Sell	2	0.270175490013422	1.4101522874383199	1.49332472461144	2.22674562120927
NM_001142920	Tcf7l2	2	0.273738886793355	1.2651870965315901	1.01996585517692	2.4372514173615496
NM_009025	Rasa3	2	0.275151934145379	1.41011355346858	1.70161401481723	2.49344663277136
NM_001004159	Clec4b2	2	0.279567391405459	1.51688342527814	1.68516386159602	3.4899655251278103
NM_001030294	Olfm4	2	0.286740005365026	1.4701819220469	1.85622983221055	3.4279521159803097
NM_001024135	Kbtbd7	2	0.29083478275024	1.2908444740673202	1.6098538147738701	2.23714097515312
NM_011882	Rnasel	2	0.298311249003964	1.4894387860781801	1.7329611505692801	2.66783209785803
NM_178372	Prss34	2	0.299134498742829	1.4675209880481899	1.8127142863129801	2.46837854368885
NM_029679	Fam65b	2	0.30000862186057203	1.56121891980758	1.6782314574613202	2.30580550351939
NM_177390	Myo1d	2	0.31308970556998805	1.8493188838570902	1.7836577473833102	2.84024192487443
NM_010751	Mxd1	2	0.314359142628865	1.1965362995099098	1.38181054145327	2.0166576937064202
NM_178259	Abca13	2	0.31560228487711894	1.7416629778936699	2.14124560590655	3.02396971718363
NM_010553	Il18rap	2	0.316547732805495	1.84831897711781	1.9092087753373799	2.92075739232437
NM_001289740	Mturn	2	0.31878969783964095	1.5537600763619799	1.76146805743335	2.1585803847802203
NM_133246	Ms4a3	2	0.321768075873373	0.7942400476929949	1.30115767549059	2.06521728013941
NM_001033435	Milr1	2	0.324809807242926	1.82405710100384	2.1991076756288197	3.3105509642951603
NM_172668	Lrp4	2	0.32704239790119705	1.6123246115498702	1.66391964923935	2.29489970264455
NM_001039371	Slc22a15	2	0.335224871328435	1.9866607978581001	2.31669671746953	2.6556516152546403
NM_001081337	Sipa1l2	2	0.335873229582273	1.5787320692432498	1.7643075206668701	2.46516309330673
NM_177363	Tarm1	2	0.337165212781792	0.336379513552086	0.5556671170183339	2.08863535727164
NM_007800	Ctsg	2	0.34786595435032897	1.35543734510766	1.53461768016922	2.4896036416450698
NM_001159963	Fbxl5	2	0.352238939240742	1.2947517041329	1.37343888625944	2.20918867819808
NM_009229	Sntb2	2	0.353779092930408	1.99335315993513	1.9240487201403897	2.33359311273417
NM_016674	Cldn1	2	0.35420184706585206	1.62893981087102	1.9717592542948503	2.65482762604849
NM_009892	Chil3	2	0.36100666215821103	1.63448400556368	1.77768298383247	3.0720072027749903
NM_022881	Rgs18	2	0.365243433204728	2.20596494733182	2.03957689334636	2.9057819368962003
NM_001101433	Zcchc24	2	0.36668182425150203	1.6775786574254299	2.5755024863504903	2.20097446992933
NM_007974	F2rl1	2	0.36788906360695706	1.90713584177719	1.88298968784473	2.41522486635631
NM_007976	F5	2	0.36945630192806	1.8446713491027	1.98562389843572	2.539530037132
NM_001033430	Kdm7a	2	0.37032941102659495	1.6506830853978702	1.67297101031358	2.2846609483799503
NM_133649	Slc12a6	2	0.37891663591161995	1.65497669205147	1.8575830055317	2.32897248624163
NM_001277100	Add3	2	0.388430395951608	1.27749202977951	1.5911383645203603	2.00362596947855
NM_013489	Cd84	2	0.394482668673118	1.83637537953024	1.9609646924441901	2.5731438529042
NM_172779	Ddx26b	2	0.39732041630118603	1.53291548969004	1.56065188754181	2.01594131464435
NM_177358	Zfp945	2	0.40168367064149996	1.6056184640468703	1.1947600722911298	2.30331112392676
NM_001146349	Rnf217	2	0.40356162849445393	1.6466663795286398	1.6211209514911002	2.95797532382256
NM_172867	Zfp462	2	0.41510050257326	1.19498855142255	1.87606436226011	2.1387455187921103
NM_021297	Tlr4	2	0.41561224215883597	1.6662505496839601	1.87455508656111	3.5311351249887597
NM_001293622	Ppp3ca	2	0.416040755222155	1.63031610656443	1.85920707082312	2.6069030097512997
NM_011178	Prtn3	2	0.417640365478611	1.5025294890099699	2.0705612256859403	3.7477087400718903
NM_016678	Reck	2	0.420243421672115	1.6235671224408001	1.91826140467797	2.01630369028252
NM_001002786	Rab44	2	0.420989409973368	1.9203051657031598	2.06815860176357	3.00304947736357
NM_028710	Arsg	2	0.421816267152558	2.5536743965953197	2.11066186640916	2.85565818426377
NM_001290755	Tlr7	2	0.422060306986169	1.49134151200744	2.03285778551183	2.67464741290561
NM_001081962	Sap25	2	0.425218882508296	1.5572699035509399	1.66269577769732	2.0191250362993203
NM_177715	Kctd12	2	0.42636774945762895	1.72834746407825	1.90272691895701	2.96645344240831
NM_007826	Dach1	2	0.42889886569001706	1.57338209982579	1.72171531152418	3.3433080274152305
NM_133979	Ano10	2	0.42908616265596294	1.4894557435166897	1.78852515608221	2.1095276747231297
NM_010074	Dpp4	2	0.42939023617151795	1.31304199915855	1.5562818946804398	2.17428981166216
NM_183355	Pbx1	2	0.4320193207225	2.03927958127833	2.15042004707547	2.94707436480217
NM_153551	Dennd1c	2	0.43386588517454	1.7452613259893999	1.75874747058166	2.21623095417988
NM_001195031	Pag1	2	0.43592972261916796	1.79293604808276	1.87183198609261	2.63489824117734
NM_152839	Igj	2	0.436108507411851	1.17032208784266	1.32887058616604	2.36231278802126
NM_001159942	Plekhg1	2	0.44027793839535995	2.01275498774588	2.176614770545	3.40375101960334
NM_010156	Samd9l	2	0.441209678938465	1.68778940939559	1.9045642637272702	3.07166295169007
NM_001164441	Ankrd33b	2	0.44259530878342607	1.05930771936742	1.53866421561894	2.2121920458652
NM_011851	Nt5e	2	0.45040591406064207	1.5830159057580102	1.6302257310736201	2.1604959062567697
NM_016780	Itgb3	2	0.455167284055003	1.3297068309126399	1.4263095363420701	2.0254920273461003
NM_010102	S1pr4	2	0.45739368370185496	1.5150336873932901	1.74858042169079	2.00582313614836
NM_177260	Tmem154	2	0.45887070810487	1.60443623333165	1.83795580841919	2.58270232808094
NM_172685	Slc25a24	2	0.460264081006466	1.5144442905665099	2.03595173481015	2.34943168998818
NM_001024703	Mctp2	2	0.4602982730637629	1.8686423730711101	1.9396711922854	2.46052929837706
NM_016923	Ly96	2	0.46104350989516796	1.58586439889279	1.74588531488801	2.5626746644283998
NM_011401	Slc2a3	2	0.461221680443792	2.12521466588772	2.3326830641386898	3.0034640424043397
NM_009502	Vcl	2	0.463932890290964	1.6887283692080601	1.7802900321556399	2.17888880934068
NM_172591	Fcho2	2	0.4649925915854529	1.53657567608475	1.59573583782302	2.14617110291299
NM_173036	Gpr97	2	0.46568167641233504	1.6522971800972899	1.8611843513476398	2.80120151380134
NM_028121	Adpgk	2	0.467375447293286	1.55780039246213	1.66819415688153	2.14196761448871
NM_008039	Fpr2	2	0.472503682983392	1.4386802910248997	1.52374385436185	2.6976241518250696
NM_153820	Arhgap15	2	0.473462295277513	1.5400597170953798	1.9045780000534498	2.24322594573058
NM_010422	Hexb	2	0.473580562545906	1.31343623377692	1.4573519045310301	2.08116446659389
NM_134154	Slc25a45	2	0.4773451957434411	1.67971473493302	1.7859497219302698	2.19365777732136
NM_153153	Svil	2	0.478723421242798	1.6457471789898	1.7075503359559099	2.05853069997029
NM_001081270	Dscaml1	2	0.480489575496082	0.600069064319408	1.2044560444746202	2.67274765881532
NM_008688	Nfic	2	0.48266718375332507	1.70535789973373	1.86519795889111	2.28487900919819
NM_008816	Pecam1	2	0.485014599213135	1.5127297328002	1.5120136115626202	2.0103753583268
NM_011580	Thbs1	2	0.48536949873313	1.6208390129088301	1.9549389543703202	3.3049908720579704
NM_010872	Naip2	2	0.487864346569808	1.58203903110293	1.6870212492075198	2.59944675747107
NM_019456	Apbb1ip	2	0.488060680075795	1.5682630595564602	1.85536010639601	2.4708005355551896
NM_020282	Nqo2	2	0.488095011418041	1.4664775629977	1.72750470524014	2.95408357172607
NM_032003	Enpp5	2	0.49395962119414394	1.20312083097402	1.3764646304000903	2.25090512800667
NM_001289706	Clec2i	2	0.494020044090308	1.05082726092738	1.44268593534102	2.14833321805081
NM_011090	Lilra6	2	0.494246785254409	1.7315659342904197	1.7155267692474299	3.32199876925758
NM_001164791	Zak	2	0.497776260270606	1.4745859964238	1.5708575635293502	2.06968589682264
NM_012054	Aoah	2	0.49780745127553905	1.6624039251211598	1.82984716588417	2.31151690266831
NM_033541	Oas1c	2	0.49881046309278293	1.74765938976298	1.80017055485844	2.12169877724283
NM_028608	Glipr1	2	0.500142267491006	1.70009226162119	1.64464409673919	2.07625016355642
NM_178677	Sec22c	2	0.500389062320447	1.56928794106498	1.62478208666565	2.02652182043725
NM_001033780	I830077J02Rik	2	0.500513876643255	1.92063932685462	2.12110400267981	2.91179694732911
NM_001290379	Ap1s2	2	0.504209924837986	1.7153789482238	1.7392000545186102	2.12236925639895
NM_177568	Plcb2	2	0.506939219927253	1.70648455326753	1.76868451959763	2.33700397973801
NM_001284505	Cask	2	0.5074211842220689	1.26083934277731	1.7168292971229	2.1171864793789803
NM_174990	Gimap4	2	0.508067274211324	1.4333172537178502	1.4913251892468602	2.02198452319538
NM_020272	Pik3cg	2	0.508337432727461	1.7769261516816799	1.9499443397619798	2.5106196426885
NM_028943	Sgms2	2	0.509505950479758	1.7063964538031102	1.8913981890490499	3.20403678838189
NM_013658	Sema4a	2	0.513377978800214	1.51498253014324	1.7215198616156497	2.4260472436225897
NM_001164056	Pld1	2	0.513431113901803	1.5899280049209	2.14271772513	3.25369456300034
NM_027206	Tnfaip8l2	2	0.515097116540642	1.54881058586247	2.05548009984786	2.2527788756042404
NM_009624	Adcy9	2	0.516566826690826	2.01583251606723	1.93369683386911	2.96017431324022
NM_001085385	1600014C10Rik	2	0.516996536562086	1.4341176085316798	1.45785802307138	2.18263308247117
NM_172574	Pqlc3	2	0.517378026703937	1.4196334174172398	1.65133612589333	2.2039794522693903
NM_001005510	Syne2	2	0.520210161129	1.92536740995002	2.08122183752435	2.74121925809295
NM_001113198	Mitf	2	0.521407816741268	1.23929432389882	1.2475982715065101	2.36082870272479
NM_010344	Gsr	2	0.522826908054096	1.63429935539794	1.83982327882116	2.44870442444334
NM_146008	Tcp11l2	2	0.5231896548075929	2.15267155292128	2.19205176228167	2.86957718286386
NM_177741	Ppp1r3b	2	0.5265737508666201	1.62699451444992	1.4732789761498502	2.41807939840462
NM_001081336	Dgkh	2	0.526647692831365	1.9947012760980702	1.94057186147334	2.37673800123756
NM_172856	Cers6	2	0.527393990916798	1.97093351318084	2.0237136755909697	2.4820639100466604
NM_001286544	Ccpg1	2	0.5306352797338939	1.79781524675854	2.04550419154971	2.36664138031413
NM_020047	Tacstd2	2	0.53554396983118	2.19755102559768	1.97592781042987	2.8199461185269303
NM_028639	Ttc7	2	0.537919255596869	1.35160032754515	1.52123583279644	2.04132272078085
NM_001169153	Cd300lf	2	0.53882663472752	1.8517529802324502	2.06208183711158	3.5210036433431204
NM_001291894	Lilrb4	2	0.540418710205375	1.2982718378714	1.37958887436678	2.4494513779443703
NM_029619	Msrb2	2	0.542144779055589	1.37773571636754	2.30229216993625	2.2491242008697
NM_199475	Fam63a	2	0.546137897639813	1.7207368919075399	1.8251313325614198	2.22634058236677
NM_053262	Hsd17b11	2	0.5489036910839079	1.8483292033730598	2.06237250588065	2.51202300393352
NM_001081079	Ogfrl1	2	0.552563444569445	1.92513564713547	2.1458802438843603	2.95953487965732
NM_177708	Rtn4rl1	2	0.5525988518229829	1.34665154197786	1.44849246372931	2.44758937028211
NM_207228	Tsga10	2	0.553880161587646	1.02816962896816	1.14448664239247	2.7460826715269704
NM_026384	Dgat2	2	0.5552741739360649	1.17245116607966	2.0092122173493	3.03919477850864
NM_007901	S1pr1	2	0.56056709383164	1.78762107712987	2.27957995776423	3.3896123504205495
NM_021325	Cd200r1	2	0.5614681137217901	1.87911471656972	2.14611833954656	2.6917692509410798
NM_183390	Klhl6	2	0.562196801868449	1.71912650570514	1.9919530251934099	2.24833765439149
NM_001048176	Cerkl	2	0.566332587185913	1.59271268458188	1.9037388416737602	2.3769328682787703
NM_178593	Rcsd1	2	0.5671441515911589	1.4647040075994	1.96066586065395	2.44686251335932
NM_178683	Depdc1b	2	0.5672995890053559	2.01868715938264	2.08572160483494	2.5693965767494
NM_008397	Itga6	2	0.56779431625497	1.71259252481314	1.7512335140511	2.1551956551366698
